RealShit,AAMC3_CP,AAMC3_CARS,AAMC3_BB,AAMC3_PS,AAMC2_CP,AAMC2_CARS,AAMC2_BB,AAMC2_PS,AAMC1_CP,AAMC1_CARS,AAMC1_BB,AAMC1_PS,AAMCsamp_CP,AAMCsamp_CARS,AAMCsamp_BB,AAMCsamp_PS
514,131,129,130,128,130,128,130,127,129,125,127,127,88,81,83,78
506,127,126,128,126,129,128,125,125,128,128,125,124,,,,
513,130,125,131,129,129,126,129,130,128,125,130,129,81,83,85,93
512,,,,,,,,,128,128,126,125,,,,
522,132,130,131,129,130,129,128,129,130,127,128,126,83,89,86,95
508,127,127,126,128,127,131,128,127,126,128,128,128,56,89,73,80
501,124,128,128,126,126,130,125,124,123,128,123,125,,,,
513,,,,,,,,,,,,,,,,
509,,,,,127,126,128,127,125,125,126,128,,,,
510,127,126,127,126,126,127,126,124,126,128,126,128,,,,
511,127,124,127,129,127,124,128,127,128,128,128,129,,,,
512,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,
508,,,,,,,,,126,126,124,125,,,,
524,131,131,132,129,132,130,132,130,131,131,132,130,88,87,100,92
523,129,130,130,130,130,129,129,129,,,,,80,96,86,88
512,128,130,130,129,129,131,129,129,127,129,130,128,71,94,79,83
511,127,126,129,125,,,,,,,,,,,,
508,126,123,129,127,126,125,127,126,126,125,127,127,71,77,68,83
524,131,128,132,132,130,131,132,129,127,129,130,129,95,94,95,93
502,,,,,,,,,,,,,,,,
517,129,132,129,128,130,131,127,128,128,130,126,129,,,,
498,,,,,,,,,,,,,,,,
521,130,127,131,127,130,129,131,129,132,131,130,128,,,,
520,131,130,130,132,131,129,132,129,128,126,130,129,,,,
507,127,126,126,127,,,,,127,126,128,128,,,,
517,132,128,128,128,129,130,130,130,130,130,130,130,,,,
520,129,127,130,129,129,129,127,129,128,128,129,129,81,81,76,83
518,132,128,132,131,132,128,132,131,130,130,129,129,,,,
516,,,,,,,,,127,130,128,127,,,,
520,,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,,
524,,,,,130,130,130,129,129,130,127,127,81,89,83,88
521,,,,,,,,,,,,,,,,
513,128,126,127,129,125,130,126,126,,,,,,,,
516,,,,,,,,,,,,,,,,
517,126,131,127,129,127,132,130,128,127,130,129,127,,,,
513,,,,,,,,,,,,,,,,
514,128,127,129,129,128,124,128,127,128,127,127,128,80,83,69,64
504,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,
521,130,127,130,128,131,129,129,129,130,128,131,128,,,,
517,,,,,127,129,130,127,128,130,130,125,,,,
516,129,123,130,129,130,124,129,126,131,125,129,128,73,81,81,80
510,126,127,127,128,125,124,127,127,125,125,125,128,59,87,54,69
523,128,128,129,130,130,132,129,127,129,129,132,127,,,,
519,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,
515,,,,,127,129,128,129,,,,,78,89,76,81
521,,,,,131,128,130,126,130,129,132,129,,,,
508,128,125,127,125,128,125,126,124,131,130,126,126,81,77,76,69
510,,,,,,,,,,,,,,,,
497,124,127,126,126,123,126,124,125,123,125,125,126,61,86,69,81
480,,,,,,,,,,,,,,,,
518,129,130,130,132,131,132,130,129,130,130,131,128,87,87,87,87
510,,,,,,,,,,,,,,,,
514,,,,,127,130,128,128,126,128,126,130,,,,
515,131,127,129,129,131,127,129,128,126,124,127,126,83,89,83,85
504,,,,,,,,,,,,,,,,
517,130,129,129,130,129,126,129,127,129,130,130,127,,,,
516,127,129,128,127,129,128,127,129,128,130,128,129,,,,
515,128,127,129,129,130,129,130,126,131,127,129,128,,,,
509,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,
512,125,130,127,128,124,127,128,128,125,130,127,128,,,,
515,,,,,,,,,,,,,,,,
528,132,131,132,131,132,131,129,128,132,129,130,128,,,,
